sku,article_number,product_name,category,price_usd,color,size,stock_quantity,stock_status,description,tags
UT-1049,ART-JEA-01-30-BLU,Slim Fit Denim Jeans,Jeans,48,Blue,30,9,In Stock,"Slim Fit Denim Jeans in Blue, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1050,ART-JEA-01-30-BLA,Slim Fit Denim Jeans,Jeans,50,Black,30,2,Low Stock,"Slim Fit Denim Jeans in Black, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1051,ART-JEA-01-32-BLU,Slim Fit Denim Jeans,Jeans,48,Blue,32,4,Low Stock,"Slim Fit Denim Jeans in Blue, size 32. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1052,ART-JEA-01-32-BLA,Slim Fit Denim Jeans,Jeans,50,Black,32,11,In Stock,"Slim Fit Denim Jeans in Black, size 32. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1053,ART-JEA-01-34-BLU,Slim Fit Denim Jeans,Jeans,48,Blue,34,18,In Stock,"Slim Fit Denim Jeans in Blue, size 34. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1054,ART-JEA-01-34-BLA,Slim Fit Denim Jeans,Jeans,50,Black,34,6,In Stock,"Slim Fit Denim Jeans in Black, size 34. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1055,ART-JEA-02-30-BLU,Straight Fit Denim Jeans,Jeans,50,Blue,30,13,In Stock,"Straight Fit Denim Jeans in Blue, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1056,ART-JEA-02-30-BLA,Straight Fit Denim Jeans,Jeans,52,Black,30,0,Out of Stock,"Straight Fit Denim Jeans in Black, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1057,ART-JEA-02-32-BLU,Straight Fit Denim Jeans,Jeans,50,Blue,32,2,Low Stock,"Straight Fit Denim Jeans in Blue, size 32. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1058,ART-JEA-02-32-BLA,Straight Fit Denim Jeans,Jeans,52,Black,32,15,In Stock,"Straight Fit Denim Jeans in Black, size 32. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1059,ART-JEA-02-34-BLU,Straight Fit Denim Jeans,Jeans,50,Blue,34,3,Low Stock,"Straight Fit Denim Jeans in Blue, size 34. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1060,ART-JEA-02-34-BLA,Straight Fit Denim Jeans,Jeans,52,Black,34,10,In Stock,"Straight Fit Denim Jeans in Black, size 34. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1061,ART-JEA-03-30-BLU,Relaxed Cargo Jeans,Jeans,54,Blue,30,17,In Stock,"Relaxed Cargo Jeans in Blue, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1062,ART-JEA-03-30-BLA,Relaxed Cargo Jeans,Jeans,56,Black,30,5,In Stock,"Relaxed Cargo Jeans in Black, size 30. jeans option designed for everyday wear and easy styling.","denim, bottoms, casual, durable"
UT-1073,ART-JAC-01-S-BLA,Lightweight Bomber Jacket,Jackets,70,Black,S,6,In Stock,"Lightweight Bomber Jacket in Black, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1074,ART-JAC-01-S-OLI,Lightweight Bomber Jacket,Jackets,68,Olive,S,13,In Stock,"Lightweight Bomber Jacket in Olive, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1075,ART-JAC-01-M-BLA,Lightweight Bomber Jacket,Jackets,70,Black,M,1,Low Stock,"Lightweight Bomber Jacket in Black, size M. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1076,ART-JAC-01-M-OLI,Lightweight Bomber Jacket,Jackets,68,Olive,M,8,In Stock,"Lightweight Bomber Jacket in Olive, size M. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1077,ART-JAC-01-L-BLA,Lightweight Bomber Jacket,Jackets,70,Black,L,15,In Stock,"Lightweight Bomber Jacket in Black, size L. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1078,ART-JAC-01-L-OLI,Lightweight Bomber Jacket,Jackets,68,Olive,L,0,Out of Stock,"Lightweight Bomber Jacket in Olive, size L. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1079,ART-JAC-02-S-BLA,Denim Trucker Jacket,Jackets,74,Black,S,10,In Stock,"Denim Trucker Jacket in Black, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1080,ART-JAC-02-S-OLI,Denim Trucker Jacket,Jackets,72,Olive,S,17,In Stock,"Denim Trucker Jacket in Olive, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1081,ART-JAC-02-M-BLA,Denim Trucker Jacket,Jackets,74,Black,M,5,In Stock,"Denim Trucker Jacket in Black, size M. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1082,ART-JAC-02-M-OLI,Denim Trucker Jacket,Jackets,72,Olive,M,12,In Stock,"Denim Trucker Jacket in Olive, size M. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1083,ART-JAC-02-L-BLA,Denim Trucker Jacket,Jackets,74,Black,L,0,Out of Stock,"Denim Trucker Jacket in Black, size L. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1084,ART-JAC-02-L-OLI,Denim Trucker Jacket,Jackets,72,Olive,L,7,In Stock,"Denim Trucker Jacket in Olive, size L. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1085,ART-JAC-03-S-BLA,Quilted Winter Jacket,Jackets,90,Black,S,2,Low Stock,"Quilted Winter Jacket in Black, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1086,ART-JAC-03-S-OLI,Quilted Winter Jacket,Jackets,88,Olive,S,2,Low Stock,"Quilted Winter Jacket in Olive, size S. jackets option designed for everyday wear and easy styling.","outerwear, travel, winter, layering"
UT-1097,ART-DRE-01-XS-BLA,Everyday Midi Dress,Dresses,44,Black,XS,3,Low Stock,"Everyday Midi Dress in Black, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1098,ART-DRE-01-XS-CRE,Everyday Midi Dress,Dresses,42,Cream,XS,10,In Stock,"Everyday Midi Dress in Cream, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1099,ART-DRE-01-S-BLA,Everyday Midi Dress,Dresses,44,Black,S,2,Low Stock,"Everyday Midi Dress in Black, size S. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1100,ART-DRE-01-S-CRE,Everyday Midi Dress,Dresses,42,Cream,S,0,Out of Stock,"Everyday Midi Dress in Cream, size S. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1101,ART-DRE-01-M-BLA,Everyday Midi Dress,Dresses,44,Black,M,12,In Stock,"Everyday Midi Dress in Black, size M. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1102,ART-DRE-01-M-CRE,Everyday Midi Dress,Dresses,42,Cream,M,0,Out of Stock,"Everyday Midi Dress in Cream, size M. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1103,ART-DRE-02-XS-BLA,Ribbed Knit Dress,Dresses,48,Black,XS,7,In Stock,"Ribbed Knit Dress in Black, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1104,ART-DRE-02-XS-CRE,Ribbed Knit Dress,Dresses,46,Cream,XS,14,In Stock,"Ribbed Knit Dress in Cream, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1105,ART-DRE-02-S-BLA,Ribbed Knit Dress,Dresses,48,Black,S,2,Low Stock,"Ribbed Knit Dress in Black, size S. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1106,ART-DRE-02-S-CRE,Ribbed Knit Dress,Dresses,46,Cream,S,2,Low Stock,"Ribbed Knit Dress in Cream, size S. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1107,ART-DRE-02-M-BLA,Ribbed Knit Dress,Dresses,48,Black,M,16,In Stock,"Ribbed Knit Dress in Black, size M. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1108,ART-DRE-02-M-CRE,Ribbed Knit Dress,Dresses,46,Cream,M,4,Low Stock,"Ribbed Knit Dress in Cream, size M. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1109,ART-DRE-03-XS-BLA,Floral Wrap Dress,Dresses,51,Black,XS,11,In Stock,"Floral Wrap Dress in Black, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1110,ART-DRE-03-XS-CRE,Floral Wrap Dress,Dresses,49,Cream,XS,18,In Stock,"Floral Wrap Dress in Cream, size XS. dresses option designed for everyday wear and easy styling.","women, dress, casual, smart casual"
UT-1121,ART-SNE-01-7-WHI,Classic Low-Top Sneakers,Sneakers,58,White,7,0,Out of Stock,"Classic Low-Top Sneakers in White, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1122,ART-SNE-01-7-BLA,Classic Low-Top Sneakers,Sneakers,60,Black,7,0,Out of Stock,"Classic Low-Top Sneakers in Black, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1123,ART-SNE-01-8-WHI,Classic Low-Top Sneakers,Sneakers,58,White,8,14,In Stock,"Classic Low-Top Sneakers in White, size 8. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1124,ART-SNE-01-8-BLA,Classic Low-Top Sneakers,Sneakers,60,Black,8,2,Low Stock,"Classic Low-Top Sneakers in Black, size 8. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1125,ART-SNE-01-9-WHI,Classic Low-Top Sneakers,Sneakers,58,White,9,9,In Stock,"Classic Low-Top Sneakers in White, size 9. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1126,ART-SNE-01-9-BLA,Classic Low-Top Sneakers,Sneakers,60,Black,9,16,In Stock,"Classic Low-Top Sneakers in Black, size 9. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1127,ART-SNE-02-7-WHI,Court Style Sneakers,Sneakers,62,White,7,2,Low Stock,"Court Style Sneakers in White, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1128,ART-SNE-02-7-BLA,Court Style Sneakers,Sneakers,64,Black,7,11,In Stock,"Court Style Sneakers in Black, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1129,ART-SNE-02-8-WHI,Court Style Sneakers,Sneakers,62,White,8,18,In Stock,"Court Style Sneakers in White, size 8. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1130,ART-SNE-02-8-BLA,Court Style Sneakers,Sneakers,64,Black,8,6,In Stock,"Court Style Sneakers in Black, size 8. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1131,ART-SNE-02-9-WHI,Court Style Sneakers,Sneakers,62,White,9,13,In Stock,"Court Style Sneakers in White, size 9. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1132,ART-SNE-02-9-BLA,Court Style Sneakers,Sneakers,64,Black,9,1,Low Stock,"Court Style Sneakers in Black, size 9. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1133,ART-SNE-03-7-WHI,Runner Knit Sneakers,Sneakers,69,White,7,0,Out of Stock,"Runner Knit Sneakers in White, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
UT-1134,ART-SNE-03-7-BLA,Runner Knit Sneakers,Sneakers,71,Black,7,2,Low Stock,"Runner Knit Sneakers in Black, size 7. sneakers option designed for everyday wear and easy styling.","footwear, sneakers, casual, walking"
